Filename,Human Name
Academy at Swift River 2009 NATSAP Profile.pdf,"Cummington
Member"
Academy at Swift River 2009 NATSAP Profile.pdf,Executive Contact
Academy at Swift River 2009 NATSAP Profile.pdf,Frank Bartolomeo
Academy at Swift River 2009 NATSAP Profile.pdf,Full Member
Academy at Swift River 2009 NATSAP Profile.pdf,Individual Psychotherapy
Academy at Swift River 2009 NATSAP Profile.pdf,Life Phase
Academy at Swift River 2009 NATSAP Profile.pdf,Mohawk Trails
Academy at Swift River 2009 NATSAP Profile.pdf,Private School
Academy at Swift River 2009 NATSAP Profile.pdf,Regional Accreditation
Academy at Swift River 2009 NATSAP Profile.pdf,Regional School
Academy at Swift River 2009 NATSAP Profile.pdf,Relapse Prevention
Academy at Swift River 2009 NATSAP Profile.pdf,Rhonda Papallo
Academy at Swift River 2009 NATSAP Profile.pdf,Skills Training
Academy at Swift River 2009 NATSAP Profile.pdf,South Street
Academy at Swift River 2009 NATSAP Profile.pdf,Swift River
Academy at Swift River 2009 NATSAP Profile.pdf,The Academy
Academy at Swift River 2009 NATSAP Profile.pdf,Therapeutic Boarding
Academy at Swift River 2009 NATSAP Profile.pdf,"Yes
Accreditation"
Academy at Swift River 2011-2012 NATSAP Profile.pdf,"Admission 
Test"
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Admission Contact
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Alcoholics Anonymous
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Behavior Therapy
Academy at Swift River 2011-2012 NATSAP Profile.pdf,"Coeducational 
Ages"
Academy at Swift River 2011-2012 NATSAP Profile.pdf,College Prep
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Dialectical Behavior
Academy at Swift River 2011-2012 NATSAP Profile.pdf,"Early 
Education"
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Executive Contact
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Full Member
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Healing Families
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Individual Psychotherapy
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Jean Baker
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Mary Jo
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Massachusetts Department
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Member Since
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Mohawk Trail
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Paul Hickling
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Regional Accreditation
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Rehabilitation Facilities
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Relapse Prevention
Academy at Swift River 2011-2012 NATSAP Profile.pdf,School Association
Academy at Swift River 2011-2012 NATSAP Profile.pdf,School Improvement
Academy at Swift River 2011-2012 NATSAP Profile.pdf,School System
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Schools Council
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Secondary School
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Skills Training
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Small Boarding
Academy at Swift River 2011-2012 NATSAP Profile.pdf,South Street
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Southern Association
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Supporting Programs
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Swift River
Academy at Swift River 2011-2012 NATSAP Profile.pdf,The Academy
Academy at Swift River 2011-2012 NATSAP Profile.pdf,Therapeutic Boarding
Academy at Swift River 2011-2012 NATSAP Profile.pdf,"Yes
Accreditation"
Academy at Swift River 2012-2013 NATSAP Profile.pdf,"Admission 
Test"
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Admission Contact
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Alcoholics Anonymous
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Behavior Therapy
Academy at Swift River 2012-2013 NATSAP Profile.pdf,"Coeducational 
Ages"
Academy at Swift River 2012-2013 NATSAP Profile.pdf,College Prep
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Dialectical Behavior
Academy at Swift River 2012-2013 NATSAP Profile.pdf,"Early 
Education"
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Executive Contact
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Full Member
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Healing Families
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Individual Psychotherapy
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Jean Baker
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Mary Jo
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Massachusetts Department
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Member Since
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Mohawk Trail
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Paul Hickling
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Regional Accreditation
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Rehabilitation Facilities
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Relapse Prevention
Academy at Swift River 2012-2013 NATSAP Profile.pdf,School Association
Academy at Swift River 2012-2013 NATSAP Profile.pdf,School Improvement
Academy at Swift River 2012-2013 NATSAP Profile.pdf,School System
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Schools Council
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Secondary School
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Skills Training
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Small Boarding
Academy at Swift River 2012-2013 NATSAP Profile.pdf,South Street
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Southern Association
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Supporting Programs
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Swift River
Academy at Swift River 2012-2013 NATSAP Profile.pdf,The Academy
Academy at Swift River 2012-2013 NATSAP Profile.pdf,Therapeutic Boarding
Academy at Swift River 2012-2013 NATSAP Profile.pdf,"Yes
Accreditation"
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Active Recovery
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Admissions Contact
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Britton Turkett
Active Recovery Network 2015-2016 NATSAP Profile.pdf,"Coeducational
Ages"
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Executive Contact
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Healing Families
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Individual Psychotherapy
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Intensive Outpatient
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Los Angeles
Active Recovery Network 2015-2016 NATSAP Profile.pdf,"Member 
Since"
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Orange County
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Recovery Network
Active Recovery Network 2015-2016 NATSAP Profile.pdf,"Rolling
Duration"
Active Recovery Network 2015-2016 NATSAP Profile.pdf,San Diego
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Supporting Programs
Active Recovery Network 2015-2016 NATSAP Profile.pdf,The Active
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Transitional Independent
Active Recovery Network 2015-2016 NATSAP Profile.pdf,University City
Active Recovery Network 2015-2016 NATSAP Profile.pdf,"Yes
Professional"
Active Recovery Network 2015-2016 NATSAP Profile.pdf,Young Adult
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Adirondack Leadership
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Admission Contact
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Church Street
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Coeducational Groups
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Executive Contact
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Full Member
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,"Health
Professional"
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Individual Psychotherapy
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,"Kane
Gender"
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Level Therapist
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Member Since
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,New York
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Robert F. Theisen
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Saranac Lake
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Single Gender
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,Wilderness Program
Adirondack Leadership Expeditions 2009 NATSAP Profile.pdf,"Yes
Accreditation"
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Adirondack Leadership
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Admission Contact
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Church Street
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Coeducational Group
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Ed Callahan
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Executive Contact
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Full Member
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Healing Families
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,"Health
Member"
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,"Health
Professional"
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Individual Psychotherapy
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Member Since
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,New York
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Saranac Lake
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Single Gender
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Supporting Programs
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,Wilderness Program
Adirondack Leadership Expeditions 2011-2012 NATSAP Profile.pdf,"Yes
Accreditation"
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Adirondack Leadership
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Admission Contact
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Admissions Phone
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Church Street
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Coeducational Group
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Executive Contact
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Full Member
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Healing Families
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,"Health
Member"
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,"Health
Professional"
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Individual Psychotherapy
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Member Since
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,New York
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Saranac Lake
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Single Gender
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Supporting Programs
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Tracy Edwards
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,Wilderness Program
Adirondack Leadership Expeditions 2012-2013 NATSAP Profile.pdf,"Yes
Accreditation"
AIM House 2012-2013 NATSAP Profile.pdf,Admission Contact
AIM House 2012-2013 NATSAP Profile.pdf,Adult Affiliate
AIM House 2012-2013 NATSAP Profile.pdf,"Boulder
Airport"
AIM House 2012-2013 NATSAP Profile.pdf,Clinical Psychologist
AIM House 2012-2013 NATSAP Profile.pdf,Daniel Conroy
AIM House 2012-2013 NATSAP Profile.pdf,Executive Contact
AIM House 2012-2013 NATSAP Profile.pdf,"Group 
Ages"
AIM House 2012-2013 NATSAP Profile.pdf,Healing Families
AIM House 2012-2013 NATSAP Profile.pdf,Individual Psychotherapy
AIM House 2012-2013 NATSAP Profile.pdf,Jude Rudolph
AIM House 2012-2013 NATSAP Profile.pdf,Mae Martin
AIM House 2012-2013 NATSAP Profile.pdf,Member Since
AIM House 2012-2013 NATSAP Profile.pdf,Single Gender
AIM House 2012-2013 NATSAP Profile.pdf,Skills Building
AIM House 2012-2013 NATSAP Profile.pdf,"Street
	
Boulder"
AIM House 2012-2013 NATSAP Profile.pdf,Supporting Programs
AIM House 2012-2013 NATSAP Profile.pdf,Transitional Independent
AIM House 2012-2013 NATSAP Profile.pdf,"Yes
Accreditation"
AIM House 2012-2013 NATSAP Profile.pdf,Young Adult
AIM House 2015-2016 NATSAP Profile.pdf,Admissions Contact
AIM House 2015-2016 NATSAP Profile.pdf,Angelo Keely
AIM House 2015-2016 NATSAP Profile.pdf,Associate Member
AIM House 2015-2016 NATSAP Profile.pdf,Clinical Psychologist
AIM House 2015-2016 NATSAP Profile.pdf,"College
Enrollment"
AIM House 2015-2016 NATSAP Profile.pdf,Daniel Conroy
AIM House 2015-2016 NATSAP Profile.pdf,Denver International
AIM House 2015-2016 NATSAP Profile.pdf,Executive Contact
AIM House 2015-2016 NATSAP Profile.pdf,"Group
Ages"
AIM House 2015-2016 NATSAP Profile.pdf,Healing Families
AIM House 2015-2016 NATSAP Profile.pdf,High School
AIM House 2015-2016 NATSAP Profile.pdf,Individual Psychotherapy
AIM House 2015-2016 NATSAP Profile.pdf,Kelly Corn
AIM House 2015-2016 NATSAP Profile.pdf,Mae Martin
AIM House 2015-2016 NATSAP Profile.pdf,"Member 
Since"
AIM House 2015-2016 NATSAP Profile.pdf,Single Gender
AIM House 2015-2016 NATSAP Profile.pdf,Skills Building
AIM House 2015-2016 NATSAP Profile.pdf,Supporting Programs
AIM House 2015-2016 NATSAP Profile.pdf,Transitional Independent
AIM House 2015-2016 NATSAP Profile.pdf,"Yes
Accreditation"
AIM House 2015-2016 NATSAP Profile.pdf,Young Adult
Alpine Academy 2009 NATSAP Profile.pdf,"Accreditation
Professional"
Alpine Academy 2009 NATSAP Profile.pdf,Accredited Schools
Alpine Academy 2009 NATSAP Profile.pdf,Admission Contact
Alpine Academy 2009 NATSAP Profile.pdf,"Alpine 
Academy"
Alpine Academy 2009 NATSAP Profile.pdf,Alpine Academy
Alpine Academy 2009 NATSAP Profile.pdf,Association Sponsor
Alpine Academy 2009 NATSAP Profile.pdf,Attachment Disorder
Alpine Academy 2009 NATSAP Profile.pdf,"Bipolar 
Disorder"
Alpine Academy 2009 NATSAP Profile.pdf,California Non
Alpine Academy 2009 NATSAP Profile.pdf,Christian Egan
Alpine Academy 2009 NATSAP Profile.pdf,"City
Member"
Alpine Academy 2009 NATSAP Profile.pdf,"City     	
Website"
Alpine Academy 2009 NATSAP Profile.pdf,"Drive
Email"
Alpine Academy 2009 NATSAP Profile.pdf,Executive Contact
Alpine Academy 2009 NATSAP Profile.pdf,Family Environment
Alpine Academy 2009 NATSAP Profile.pdf,Full Member
Alpine Academy 2009 NATSAP Profile.pdf,Girls Only
Alpine Academy 2009 NATSAP Profile.pdf,Human Services
Alpine Academy 2009 NATSAP Profile.pdf,Individual Psychotherapy
Alpine Academy 2009 NATSAP Profile.pdf,Janet Mulitalo
Alpine Academy 2009 NATSAP Profile.pdf,"Northwest 
Association"
Alpine Academy 2009 NATSAP Profile.pdf,Our Healthy
Alpine Academy 2009 NATSAP Profile.pdf,Providers Association
Alpine Academy 2009 NATSAP Profile.pdf,Public School
Alpine Academy 2009 NATSAP Profile.pdf,Residential Treatment
Alpine Academy 2009 NATSAP Profile.pdf,Salt Lake
Alpine Academy 2009 NATSAP Profile.pdf,Teaching Family
Alpine Academy 2009 NATSAP Profile.pdf,Traumatic Stress
Alpine Academy 2009 NATSAP Profile.pdf,Utah Private
Alpine Academy 2009 NATSAP Profile.pdf,Whispering Horse
Alpine Academy 2009 NATSAP Profile.pdf,"Yes
Accreditation"
Alpine Academy 2012-2013 NATSAP Profile.pdf,Admission Contact
Alpine Academy 2012-2013 NATSAP Profile.pdf,Alpine Academy
Alpine Academy 2012-2013 NATSAP Profile.pdf,Attachment Disorder
Alpine Academy 2012-2013 NATSAP Profile.pdf,Bipolar Disorder
Alpine Academy 2012-2013 NATSAP Profile.pdf,California Non
Alpine Academy 2012-2013 NATSAP Profile.pdf,Christian Egan
Alpine Academy 2012-2013 NATSAP Profile.pdf,"Drive 
	
Erda"
Alpine Academy 2012-2013 NATSAP Profile.pdf,Executive Contact
Alpine Academy 2012-2013 NATSAP Profile.pdf,Family Association
Alpine Academy 2012-2013 NATSAP Profile.pdf,Family Environment
Alpine Academy 2012-2013 NATSAP Profile.pdf,Full Member
Alpine Academy 2012-2013 NATSAP Profile.pdf,Girls Only
Alpine Academy 2012-2013 NATSAP Profile.pdf,Healing Families
Alpine Academy 2012-2013 NATSAP Profile.pdf,Human Services
Alpine Academy 2012-2013 NATSAP Profile.pdf,Independent Small
Alpine Academy 2012-2013 NATSAP Profile.pdf,Individual Psychotherapy
Alpine Academy 2012-2013 NATSAP Profile.pdf,Janet Mulitalo
Alpine Academy 2012-2013 NATSAP Profile.pdf,Member Since
Alpine Academy 2012-2013 NATSAP Profile.pdf,Northwest Accreditation
Alpine Academy 2012-2013 NATSAP Profile.pdf,"Our 
Healthy"
Alpine Academy 2012-2013 NATSAP Profile.pdf,Post Grad
Alpine Academy 2012-2013 NATSAP Profile.pdf,Programs Alliance
Alpine Academy 2012-2013 NATSAP Profile.pdf,Providers Association
Alpine Academy 2012-2013 NATSAP Profile.pdf,Public School
Alpine Academy 2012-2013 NATSAP Profile.pdf,Residential Treatment
Alpine Academy 2012-2013 NATSAP Profile.pdf,Salt Lake
Alpine Academy 2012-2013 NATSAP Profile.pdf,Sponsor Site
Alpine Academy 2012-2013 NATSAP Profile.pdf,Supporting Programs
