Program_Name,Category,City,State,Phone,Website
Journey Academy at TLC Child & Family Services,Residential Treatment Center,Sebastopol,CA,(707) 634-9042,"""https://tlc4kids.org/journey-academy/"","
Kaizen Academy,Residential Treatment Center,Payson,UT,(801) 798-5448,"""http://www.kaizenrtc.com/"","
Kiva Adventure Ranch,Residential Treatment Center,Toquerville,UT,(435) 263-6556,"""http://www.kivaranch.com/"","
Kolob Canyon RTC,Residential Treatment Center,New Harmony,UT,(435) 865-1437,"""http://www.kolobcanyonrtc.com/"","
La Europa Academy,Residential Treatment Center,Murray,UT,(801) 268-9300,"""http://www.laeuropaacademy.com/"","
Lifeskills South Florida,Residential Treatment Center,Deerfield Beach,FL,(954) 953-1742,"""http://www.lifeskillssouthflorida.com/"","
Lindner Center of HOPE,Residential Treatment Center,Mason,OH,(513) 536-0537,"""http://www.lindnercenter.org/"","
Logan River Academy,Residential Treatment Center,Logan,UT,(435) 755-8400,"""http://www.loganriver.com/"","
Maple Lake Academy,Residential Treatment Center,Payson,UT,(801) 798-7700,"""http://www.maplelakeacademy.com/"","
Meridell Achievement Center,Residential Treatment Center,Liberty Hill,TX,(512) 528-2100,"""http://www.meridell.com/"","
Moonridge Academy,Residential Treatment Center,Cedar City,UT,(435) 900-2115,"""http://www.moonridgeacademy.com/"","
Mountain Lake Academy,Residential Treatment Center,Lake Placid,NY,(518) 523-4300,"""http://www.mountainlakeacademy.org/"","
NBI Ranch,Residential Treatment Center,Weston,FL,(954) 217-1757,"""http://www.nbiweston.com/"","
New Haven Residential Treatment Center,Residential Treatment Center,Spanish Fork,UT,(801) 794-1218,"""http://www.newhavenrtc.com/"","
Northwest College Support,Residential Treatment Center,Couer D Alene,ID,(877) 485-2776,"""http://www.collegesupportnw.com/"","
OASIS Ascent,Residential Treatment Center,Provo,UT,(855) 701-2721,"""https://www.oasisascent.com/"","
Oxbow Academy,Residential Treatment Center,Mount Pleasant,UT,(435) 412-9068,"""http://www.oxbowacademy.net/"","
PATH At Stone Summit Inc.,Residential Treatment Center,Danby,VT,(802) 293-2900,"""http://www.pathatstonesummit.com/"","
Project Patch,Residential Treatment Center,,,(360) 690-8495,"""http://www.projectpatch.org/"","
Red Oak Recovery,Residential Treatment Center,Asheville,NC,(866) 457-7590,"""http://www.redoakrecovery.com/"","
Rogers Behavioral Health,Residential Treatment Center,Oconomowoc,WI,(800) 767-4411,"""http://www.rogersbh.org/"","
Sierra Sage Treatment Center,Residential Treatment Center,Yerington,NV,(775) 230-7308,"""http://sierrasagetreatmentcenter.com/"","
Solstice West RTC,Residential Treatment Center,Layton,UT,(801) 444-0794,"""http://www.solsticertc.com/"","
Stonewater Adolescent Recovery Center,Residential Treatment Center,Oxford,MS,(662) 871-7912,"""http://www.stonewaterrecovery.com/"","
Summit Achievement,Residential Treatment Center,Stow,ME,(207) 697-2020,"""http://www.summitachievement.com/"","
Sunrise RTC,Residential Treatment Center,Washington,UT,(435) 627-5202,"""http://www.sunrisertc.com/"","
Tamarack Center,Residential Treatment Center,Spokane,WA,(509) 326-8100,"""http://www.tamarack.org/"","
Telos,Residential Treatment Center,Orem,UT,(801) 426-8800,"""http://www.telos.org/"","
Triumph Academy,Residential Treatment Center,Brigham City,UT,(435) 538-5061,"""http://www.triumphyouthservices.com/"","
"Uinta Academy RTC, LLC",Residential Treatment Center,Wellsville,UT,(435) 245-2600,"""http://www.uintaacademy.com/"","
Wediko School,Residential Treatment Center,Windsor,NH,(603) 824-8444,"""http://www.thewedikoschool.org/"","
Wellspring & The Arch Bridge School,Residential Treatment Center,Bethlehem,CT,(203) 266-8000,"""http://www.wellspring.org/"","
"WestBridge, Inc.",Residential Treatment Center,Manchester,NH,(877) 461-7711,"""http://www.westbridge.org/"","
Youth Care,Residential Treatment Center,Draper,UT,(801) 450-6350,"""http://www.youthcare.com/"","
Huntsman Mental Health Institute,Specialty Psychiatric/Behavioral Hospital,Salt Lake City,UT,(801) 587-9321,"""https://www.healthcare.utah.edu/hmhi"","
ViewPoint Center,Specialty Psychiatric/Behavioral Hospital,Syracuse,UT,(801) 825-5222,"""http://www.viewpointcenter.com/"","
Vive Adolescent Care,Specialty Psychiatric/Behavioral Hospital,St George,UT,(435) 703-6470,"""http://www.vivetreatment.com/"","
ANASAZI Foundation,Wilderness Therapy Program,Mesa,AZ,(480) 892-7403,"""http://www.anasazi.org/"","
Blue Ridge Therapeutic Wilderness,Wilderness Therapy Program,Clayton,GA,(888) 914-1050,"""http://www.blueridgewilderness.com/"","
BlueFire Wilderness Therapy,Wilderness Therapy Program,Gooding,ID,(208) 494-9505,"""http://www.bluefirewilderness.com/"","
Legacy Treatment Center & Juniper Canyon,Wilderness Therapy Program,Loa,UT,(435) 836-2272,"""http://www.legacyoutdooradventures.com/"","
RedCliff Ascent,Wilderness Therapy Program,Enterprise,UT,(435) 238-7155,"""http://www.redcliffascent.com/"","
"Second Nature Wilderness Family Therapy, LLC",Wilderness Therapy Program,Duchesne,UT,(435) 738-2040,"""http://www.second-nature.com/"","
Summit Achievement,Wilderness Therapy Program,Stow,ME,(207) 697-2020,"""http://www.summitachievement.com/"","
True North Evolution,Wilderness Therapy Program,Waitsfield,VT,(802) 583-1144,"""http://www.truenorthevolution.com/"","
Black Mountain Academy,Therapeutic Boarding School,,,(828) 243-6165,"""http://www.theblackmountainacademy.com/"","
Building Bridges,Therapeutic Boarding School,Thompson Falls,MT,(406) 827-9853,"""http://www.buildingbridgesinc.net/"","
Chamberlain International School,Therapeutic Boarding School,Middleboro,MA,(508) 946-9348,"""http://www.chamberlainschool.org/"","
Cherokee Creek Boys School,Therapeutic Boarding School,Westminster,SC,(864) 647-1885,"""http://www.cherokeecreek.net/"","
Chrysalis Therapeutic Boarding School,Therapeutic Boarding School,Eureka,MT,(406) 743-5954,"""http://www.chrysalisschoolmontana.com/"","
Clearview Girls Academy,Therapeutic Boarding School,Heron,MT,(406) 847-4400,"""http://www.clearviewhorizon.com/"","
Evangelhouse Christian Academy,Therapeutic Boarding School,Saint Martinville,LA,(800) 924-4012,"""http://www.evangelhouse.com/"","
Grove School,Therapeutic Boarding School,Madison,CT,(203) 245-2778,"""http://www.groveschool.org/"","
Heartspring School,Therapeutic Boarding School,Wichita,KS,(316) 634-8700,"""http://www.heartspring.org/"","
In Balance Academy,Therapeutic Boarding School,Tucson,AZ,(520) 722-9631,"""http://www.inbalanceacademy.com/"","
Mountain Lake Academy,Therapeutic Boarding School,Lake Placid,NY,(518) 523-4300,"""http://www.mountainlakeacademy.org/"","
The King's Daughters' School,Therapeutic Boarding School,Columbia,TN,(931) 388-3810,"""http://tkds.org/"","
Valley View School,Therapeutic Boarding School,North Brookfield,MA,(508) 867-6505,"""http://www.valleyviewschool.org/"","
Whetstone Academy,Therapeutic Boarding School,,,(864) 638-6005,"""http://www.whetstoneacademy.com/"","
At The Crossroads,Transitional Independent Living Program,Saint George,UT,(435) 627-1788,"""http://www.atthecrossroads.com/"","
LifeTutors,Transitional Independent Living Program,Asheville,NC,(828) 417-7122,"""http://lifetutors.com/"","
NBI Ranch,Transitional Independent Living Program,Weston,FL,(954) 217-1757,"""http://www.nbiweston.com/"","
Optimum Performance Institute,Transitional Independent Living Program,Woodland Hills,CA,(818) 610-3956,"""http://www.optimumperformanceinstitute.com/"","
"PRN For Families, Inc.",Transitional Independent Living Program,Golden,CO,(888) 762-5973,"""http://www.prnforfamilies.com/"","
Resilience Recovery Resources,Transitional Independent Living Program,West Palm Beach,FL,(561) 806-0980,"""http://www.resiliencerecoveryresources.com/"","
AIM House & Boulder Integrated Health (18+),Young Adult Program,Boulder,CO,(303) 554-0011,"""http://www.aimhouse.com/"","
At The Crossroads (18+),Young Adult Program,Saint George,UT,(435) 627-1788,"""http://www.atthecrossroads.com/"","
Confluence Behavioral Health (18+),Young Adult Program,Thetford Center,VT,(802) 727-0019,"""http://www.confluencevt.com/"","
Cornerstones of Maine (18+),Young Adult Program,Biddeford,ME,(800) 588-6898,"""http://www.cornerstonesofmaine.com/"","
Echo Springs Transitional Study Center (18+),Young Adult Program,Sandpoint,ID,(208) 265-3651,"""http://www.echo-springs.com/"","
Fulshear Treatment To Transition (18+),Young Adult Program,Needville,TX,(979) 985-3243,"""http://www.fulsheartransition.com/"","
Huntsman Mental Health Institute Young Adult CAT (18+),Young Adult Program,Murray,UT,(801) 581-6987,"""https://www.healthcare.utah.edu/hmhi/treatments/comprehensive-assessment-treatment"","
Legacy Treatment Center & Juniper Canyon (18+),Young Adult Program,Loa,UT,(435) 836-2272,"""http://www.legacyoutdooradventures.com/"","
LifeTutors (18+),Young Adult Program,Asheville,NC,(828) 417-7122,"""http://lifetutors.com/"","
Northwest College Support (18+),Young Adult Program,Couer D Alene,ID,(877) 485-2776,"""http://www.collegesupportnw.com/"","
Pacific Quest (18+),Young Adult Program,Hilo,HI,(808) 937-5806,"""http://www.pacificquest.org/"","
Red Oak Recovery (18+),Young Adult Program,Asheville,NC,(866) 457-7590,"""http://www.redoakrecovery.com/"","
Wellspring & The Arch Bridge School (18+),Young Adult Program,Bethlehem,CT,(203) 266-8000,"""http://www.wellspring.org/"","
"WestBridge, Inc. (18+)",Young Adult Program,Manchester,NH,(877) 461-7711,"""http://www.westbridge.org/"","
