administrator,announced_status,capacity,census,complaint_control_number,complaint_status,date_signed,evaluator_name,facility_id,facility_name,facility_number,facility_type_code,facility_type_name,fetch_url,form_number,investigation_findings,met_with,narrative,report_date,report_index,report_type,status,supervisor_name,time_began,time_completed,visit_date,visit_type,deficiency_1_deficiency_type,deficiency_1_description,deficiency_1_plan_of_correction,deficiency_1_poc_due_date,deficiency_1_section_cited,deficiency_2_deficiency_type,deficiency_2_description,deficiency_2_plan_of_correction,deficiency_2_poc_due_date,deficiency_2_section_cited,deficiency_3_deficiency_type,deficiency_3_description,deficiency_3_plan_of_correction,deficiency_3_poc_due_date,deficiency_3_section_cited,deficiency_4_deficiency_type,deficiency_4_description,deficiency_4_plan_of_correction,deficiency_4_poc_due_date,deficiency_4_section_cited,deficiency_5_deficiency_type,deficiency_5_description,deficiency_5_plan_of_correction,deficiency_5_poc_due_date,deficiency_5_section_cited,deficiency_6_deficiency_type,deficiency_6_description,deficiency_6_plan_of_correction,deficiency_6_poc_due_date,deficiency_6_section_cited,deficiency_7_deficiency_type,deficiency_7_description,deficiency_7_plan_of_correction,deficiency_7_poc_due_date,deficiency_7_section_cited,deficiency_8_deficiency_type,deficiency_8_description,deficiency_8_plan_of_correction,deficiency_8_poc_due_date,deficiency_8_section_cited
AMBER JANSON,UNANNOUNCED,6,5,08-CR-20230728164213,SUBSTANTIATED,10/12/2023 10:21,LUCERO JAUREGUI,374602535,FIRST STEP TREATMENT HOME,374602535,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=374602535&inx=7,LIC9099,"On October 12, 2023, at 10:06 AM, Licensing Program Analyst (LPA) Lucero Jauregui conducted an unannounced complaint inspection at the facility's corportate office. The purpose of the inspection is to deliver the findings for the above allegation and met with Deanna Mellos, Director. LPA Jauregui conducted an inspection of the facility on August 2, 2023, and no deficiencies were noted. During the investigation, LPA conducted three staff (S1-S3) interviews and three client (C1-C3) interviews. On July 28, 2023, Community Care Licensing (CCL) received the allegation that staff handled minor in a rough manner. Confidential interviews indicated C1 had escalated inside the facility, went outside to the front of the facility, and began hitting staffâ€™s vehicle with their casted arm. To prevent C1 from causing damage to staffs vehicle S1 grabbed C1â€™s arm to move C1 away from the vehicle causing C1 to fall to the ground. S1 grabbing C1â€™s arm leading C1 to fall to the ground did not accord C1 dignity in their personal relationships with staff. CONTINUED....","Deanna Mellos, Director",,10/12/2023,7,COMPLAINT_INVESTIGATION,,Ann Valenzuela,10:06 AM,10:30 AM,10/12/2023,,B,"Personal Rights (c)(10) The licensee shall ensure that each childâ€¦To be accorded dignity in their personal relationships with staff and other persons.

This requirement was not met based on:","Facility will provide Personal Rights Training and Prudent Parenting Training. Facility will provide proof of completed training to CCL by Friday October 27, 2023.",10/12/2023,87072(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RICE, CLAUDIA",UNANNOUNCED,70,28,34-CR-20220216081916,SUBSTANTIATED,3/30/2022 11:05,Daphne Edison,191200236,FIVE ACRES,191200236,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=191200236&inx=22,LIC9099,"On March 30, 2022 at 9:37am, Licensing Program Analyst (LPA) Daphne Edison made an unannounced visit to Five Acres and spoke with Claudia Rice, Division Director. The purpose of this visit was to deliver the findings for the above complaint allegation. During the investigation, a total of three (3) clients and five (5) staff were interviewed. Confidential interviews, documentary evidence of Special Incident Report (SIR) # 797310, and LPA review of video footage of the incident revealed adequate supervision was not provided by staff, thus the minors engaged in inappropriate interactions while in care. Minors were out of the supervised view of staff. Continued on LIC 9099-C",Claudia Rice-Division Director,,3/30/2022,22,COMPLAINT_INVESTIGATION,,Lakescia Smith,9:37 AM,11:05 AM,3/30/2022,,A,80078 Responsibility for Providing Care and Supervision (a) The licensee shall provide care and supervision as necessary to meet the client's needs.,Division Director stated two (2) staff involved in the allegation have been terminated.  Division Director stated that additional one-on-one training is ongoing for other staff for a period of at least 30 days in regard to supervision of clients.  Division Director stated will submit a written plan stating how to  ensure incident won't occur again.  Division Director stated will provide LPA with training information  for staff participating in the one-on-one training within one (1) week.,4/1/2022,80078(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RICE, CLAUDIA",UNANNOUNCED,70,23,34-CR-20210312091356,SUBSTANTIATED,7/28/2022 11:50,Daphne Edison,191200236,FIVE ACRES,191200236,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=191200236&inx=29,LIC9099,"On July 28, 2022 at 10:35am, Licensing Program Analyst (LPA) Daphne Edison made an unannounced visit to Five Acres and spoke with Julian White, Crisis Intervention Specialist (CIS). The purpose of this visit was to deliver the findings for the above complaint allegation. During the investigation, a total of three (3) clients and (4) staff were interviewed. Confidential interviews with staff, clients, and documentary evidence revealed inconsistent statements as to the validity of the allegation, Staff caused injury to minor. Documentary evidence provided inconsistent reports regarding the allegation. LPA obtained copies of Special Incident Report # 745252 which did not reveal that Staff #1 (S1) slapped Client #1 (C1) on the back leaving a red handprint and Special Incident Report # 745222 which revealed the injury of a red handprint on C1â€™s back. Confidential interviews with C1 revealed that it was S1 which caused the injury. Continued on LIC 9099-C",Julian White-Crisis Intervention Specialist,,7/28/2022,29,COMPLAINT_INVESTIGATION,,Lakescia Smith,10:35 AM,11:55 AM,7/28/2022,,B,"This an amended report from the original date of 7/28/2022.    87072 Personal Rights (c) The licensee shall ensure that each child, regardless of whether the child is in foster care, is accorded the personal rights specified in Welfare and Institutions Code Section 16001.9, as applicable.  In addition, the licensee shall ensure that each child is accorded the following personal rights:
(11)  To be free of physical, sexual, emotional, or other abuse, and from corporal or unusual punishment, *exploitation,* infliction of pain, humiliation, intimidation, ridicule, coercion, threat, mental abuse, or other actions of a punitive nature including, but not limited to, interference with the daily living functions of eating, sleeping, or toileting, or withholding of shelter, clothing, or aids to physical functioning.
This requirement is not met as evidenced by:",LPA advised Crisis Intervention Specialist (CIS) to submit a written plan stating how to ensure incidents like this won't happen again. CIS stated that they will inform Division Director of POC and POC due date.,8/25/2022,87072(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WILBUR, ANGELA",UNANNOUNCED,14,7,34-CR-20220804091337,SUBSTANTIATED,5/4/2023 13:07,Daphne Edison,198209746,FIVE ACRES STRTP COLBY,198209746,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209746&inx=11,LIC9099,"On May 4, 2023, at 11:21am, Licensing Program Analyst (LPA) Daphne Edison made an unannounced visit to Five Acres (Colby) and spoke with Claudia Rice, Division Director. The purpose of this visit was to deliver the findings for the above complaint allegations. During the investigation LPA Edison interviewed and accounted for all available relevant parties; and gathered pertinent information regarding the allegations. Based on the documentary evidence, interviews, and statements obtained during the investigation process, LPA was able to corroborate the allegations, Staff member handled minor in a rough manner and Staff member used inappropriate language toward minor. Although Client #1 (C1) threw the remote control at the television because staff threw away C1â€™s cereal, confidential interviews, consistent statements, and documentary evidence revealed S1 grabbed C1 by their neck and pushed C1 to the floor. S1 used inappropriate language toward C1 while holding C1 on the back of the neck on the floor.",Claudia Rice-Division Director,,5/4/2023,11,COMPLAINT_INVESTIGATION,,Lakescia Smith,11:21 AM,12:25 PM,5/4/2023,,A,"87072 Personal Rights (c) The licensee shall ensure that each child, regardless of whether the child is in foster care, is accorded the personal rights specified in Welfare and Institutions Code Section 16001.9, as applicable.  In addition, the licensee shall ensure that each child is accorded the following personal rights: (11) To be free of physical, sexual, emotional, or other abuse, and from corporal or unusual punishment, *exploitation,* infliction of pain, humiliation, intimidation, ridicule, coercion, threat, mental abuse, or other actions of a punitive nature including, but not limited to, interference with the daily living functions of eating, sleeping, or toileting, or withholding of shelter, clothing, or aids to physical functioning .  This requirement was not met as evidenced by:","Division Director stated staff was terminated in 8/2022.  Division Director stated that additional staff trainings were conducted on training topics for Personal Rights.  Division Director stated will email LPA a copy of the trainings which includes name of training, date of training, staff in attendance by 5/25/2023. The deficiency has been amended from the original date of 5/4/2023.",5/25/2023,87072(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLAND WILLIAMS,UNANNOUNCED,14,7,08-CR-20230707094912,SUBSTANTIATED,9/19/2023 11:07,LUCERO JAUREGUI,374602631,FRED FINCH YOUTH CENTER-SAN DIEGO,374602631,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=374602631&inx=14,LIC9099,"***THIS IS AN AMENDMENT*** On September 19, 2023, at 10:15 AM, Licensing Program Analyst (LPA) Lucero Jauregui conducted an unannounced complaint inspection and met with Roland Williams, Administrator. The purpose of the inspection is to deliver an amendment to the findings that were delivered on August 22, 2023, for the above allegations. LPA Jauregui conducted an inspection of the facility on July 10, 2023, and no deficiencies were noted. During the investigation, LPA Jauregui conducted three staff interviews (S1-S3), three client interviews (C1-C3), two witness interviews (W1-W2), and conducted a record review. On July 7, 2023, Community Care Licensing (CCL) received the allegations that minor sustained injuries while in care, staff did not prevent minor from self-harming, staff are not properly supervising minors while in care, and staff did not provide a safe and comfortable environment for minors. CONTINUED....","Roland Williams, Administrator",,8/22/2023,14,COMPLAINT_INVESTIGATION,,Ann Valenzuela,10:45 AM,11:25 AM,8/22/2023,,A,"87065.2(b)(1) Personnel Duties.  (b) Direct care staff shall perform the following duties: (1) Supervision, protection, and care of children at all times, individually and in groups.

This requirement was not met as evidenced by:",Facility will provide Supervision training and submit proof to CCL by 10/3/2023.,9/19/2023,2(b),A,"Welfare and Institutions Code section 16001.9(a)(1) Personal Rights: All children placed in foster careâ€¦ shall have the rights specified in this section.  To live in a safe, healthy, and comfortable home where they are treated with respectâ€¦

This requirement was not met as evidenced by:",Facility will provide Personal Rights training and submit proof to CCL by 10/3/2023.,9/19/2023,9(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLAND WILLIAMS,UNANNOUNCED,14,9,08-CR-20240517153750,SUBSTANTIATED,11/6/2024 11:52,LUCERO JAUREGUI,374602631,FRED FINCH YOUTH CENTER-SAN DIEGO,374602631,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=374602631&inx=23,LIC9099,"**This is an amended LIC9099 to the original delivered on 9/17/2024.** On September 17, 2024, at 9:00 AM, Licensing Program Analyst (LPA) Lucero Jauregui arrived at the facility unannounced and met with Roland Williams, Administrator to discuss the investigative finding for the allegation noted above. The investigation was conducted by Special Investigator (SI) Ernestina Bellucco. On May 28, 2024, SI Bellucco conducted an initial complaint investigation and interviewed one client (C1), four staff (S1-S4), one witness and one San Diego County Social Worker. Pertinent records were obtained and reviewed. On May 17, 2024, Community Care Licensing (CCL) received an allegation that due to lack of care and supervision, minors engaged in inappropriate sexual activity while in care. Specifically, it was reported that C1 was anally penetrated by a client identified as client 2 (C2) during the time they were both placed at the facility. CONTINUED....","Roland Williams, Administrator",,9/17/2024,23,COMPLAINT_INVESTIGATION,,Dawn Segura,9:00 AM,9:35 AM,9/17/2024,,A,"80078 Responsibility for Providing Care and Supervision (a) The licensee shall provide care and supervision as necessary to meet the clientâ€™s needs.

This requirement was not met as evidenced by:","Personal Rights and Supervisoin training completed on 9/18/24. 

Within 24 hours, the facility will provide a written plan of correction to CCL on how they plan to address care and supervision.",11/7/2024,80078(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOHNSON, GLORETA",UNANNOUNCED,6,4,24-CR-20231211120802,SUBSTANTIATED,2/12/2024 9:53,Reyna Martinez,107204098,FRESNO YOUTH-PALO ALTO HOUSE,107204098,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=107204098&inx=10,LIC9099,"On the above date, Licensing Program Analysts (LPA) Reyna Martinez conducted a complaint inspection to the STRTP and met with Mandy Perez. The purpose of the inspection was to deliver the findings for the above complaint allegation. Based on interviews it was determined that Staff did not properly report an incident involving minors to Community Care Licensing. Based on the LPAâ€™s observations, confidential interviews and records review which were conducted, the preponderance of evidence standard has been met, therefore, the above allegation is found to be substantiated. A deficiency is being cited for the California Code of Regulations (CCR) Title 22, Division 6, Chapter 1, Article 06, 80061(a) Reporting Requirements. A copy of the report and Appeal Rights was provided to the STRTP.",Mandy Perez,,2/12/2024,10,COMPLAINT_INVESTIGATION,,Juanita Arroyo,9:15 AM,9:50 AM,2/12/2024,,A,"80061	Reporting Requirements	 (a) Each licensee or applicant shall furnish to the licensing agency reports as required by the Department, including, but not limited to, those specified in this section.

This requirement is not met as evidenced by:",Licensee will submit a plan of correction to LPA Martinez by end of business day 2/13/24.,2/13/2024,80061(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R'NISHA PARKER,UNANNOUNCED,6,5,19-CR-20210923084330,SUBSTANTIATED,1/24/2022 12:22,Carmen Escobar,366408739,FUTURE STARS YOUTH SERVICES,366408739,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=366408739&inx=2,LIC9099,"On January 19, 2021 at 3:05 PM, Licensing Program Analyst (LPA) Carmen Escobar conducted an unannounced inspection at the Short Term Residential Therapeutic Program (STRTP) in order to issue the investigative findings for the above allegations. During the investigation, LPA requested documents from client 1 (C1â€™s) file including placement agreement, copy of most recent needs and service plan, and special incident reports involving the allegation reported. LPA also obtained a copy of STRTP client roster and staff roster. LPA Escobar conducted interviews with staff 1 (S1), staff 2 (S2), C1, client 2 (C2), client 3 (C3), San Bernardino County Investigator, and another involved party. LPA Escobar completed the initial ten-day inspection at the facility to initiate the complaint on 09/29/21 at 11:15 AM. No safety concerns were observed. It was alleged that on or around 09/23/21, S1 spoke inappropriately to C1 and S1","Facility Manager, Iyonna Matthews",,1/19/2022,2,COMPLAINT_INVESTIGATION,,Jennifer Smith,3:05 PM,4:10 PM,1/19/2022,,B,"(c)	The licensee shall ensure that each child, regardless of whether the child is in foster care, is accorded the personal rights specified in Welfare and Institutions Code Section 16001.9, as applicable.  In addition, the licensee shall ensure that each child is accorded the following personal rights: (11)	To be free of physical, sexual, emotional, or other abuse, and from corporal or unusual punishment, *exploitation,* infliction of pain, humiliation, intimidation, ridicule, coercion, threat, mental abuse, or other actions of a punitive nature including, but not limited to, interference with the daily living functions of eating, sleeping, or toileting, or withholding of shelter, clothing, or aids to physical functioning.","Per Facility Manager, S1 will be retrained in personal rights, with emphasis in trauma-informed care for de-escalation. Proof of retraining will be provided to LPA. S1 is also being put on 6 month probationary period.",2/11/2022,87072(c),B,"(c)	The licensee shall ensure that each child, regardless of whether the child is in foster care, is accorded the personal rights specified in Welfare and Institutions Code Section 16001.9, as applicable.  In addition, the licensee shall ensure that each child is accorded the following personal rights: (10)	To be accorded dignity in *their* personal relationships with staff and other persons.","Per Facility Manager, S1 will be retrained in personal rights, with emphasis in trauma-informed care for de-escalation. Proof of retraining will be provided to LPA. S1 is also being put on 6 month probationary period.",2/11/2022,87072(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R'NISHA PARKER,UNANNOUNCED,0,6,19-CR-20230202091349,SUBSTANTIATED,3/13/2024 10:09,Daniel Mena,366408739,FUTURE STARS YOUTH SERVICES,366408739,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=366408739&inx=26,LIC9099,"This is an amended report to the one issued on 02/27/24: Licensing Program Analyst (LPA), Daniel Mena met with Facility Manager, Iyonna Matthews to discuss the investigative findings for the above stated allegation. Licensing Program Analysts (LPAs) Lisi Leon, Cynthia Urena and Daniel Mena conducted an inspections of the Short Term Residential Therapeutic Program (STRTP). No immediate hazards were observed. The investigation was jointly conducted by LPAs Leon, Urena and Mena. The investigation included interviews with five staff (Staff #1 (S1), Staff #3 (S3), Staff #4 (S4), Staff # 5 (S5) & Staff # 6 (S6), four clients (Client #1 (C1), Client #3 (C3), Client #4 (C4) & Client # (5), as well as a review of client and facility records. LPA Mena was unable to interview Client # 2 (C2) and Staff # 2 (S2) due to C2 & S2 being unresponsive to LPA Menaâ€™s attempts to interview them regarding complaint allegations. Community Care Licensing received information on February 02, 2023, alleging that staffâ€™s behavior posed a risk to a minor while in care. Information received and confidential interviews corroborated allegations with a preponderance of evidence. Confidential interviews stated that Staff # 1 (S1) and Staff # 2 (S2) had Client # 2 (C2) cornered against the wall while attempting to prevent an altercation and were standing in between C2 and other clients who were attempting to engage C2 in a physical",Iyinna Mathews,,2/27/2024,26,COMPLAINT_INVESTIGATION,,Jennifer Smith,2:40 PM,3:05 PM,2/27/2024,,A,"Personal Rights
To be free of physical, sexual, emotional, or other abuse, and from corporal or
unusual punishment, infliction of pain, humiliation, intimidation, ridicule, coercion, 
threat, mental abuse, or other actions of a punitive nature includingâ€¦â€¦â€¦â€¦â€¦â€¦.",Facility Manager Stated that both Staff # 1(S1) Staff # 2 (S2) no longer worked at this facility and that staff have since been retrained on Client Personal Rights. Proof of training will be provided by the POC date.,3/11/2024,87072(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAFOA SOLIAI,UNANNOUNCED,6,6,23-CR-20220519160149,SUBSTANTIATED,8/18/2022 12:48,Mary Shelton,347001397,GATEWAY RESIDENTIAL PROGRAMS - HICKORY HOUSE,347001397,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=347001397&inx=1,LIC9099,"Licensing Program Analyst (LPA) Mary Shelton conducted a visit on 8/18/2022, and LPA spoke with Jeff Beesley, Executive Director to deliver findings of the investigation on the complaint allegation that a child was restrained inappropriately. LPA Shelton informed the complaint investigation included a tour of the home on 5/25/2022. The initial 10-day complaint inspection was conducted by the LPA, at the home on 5/25/2022 and LPA, requested Needs and Service Individual Treatment Plan, facility sketch and training records. Interviews were conducted by LPA Mary Shelton, which included C1, C2, C3, C4, C5, S1, S2 and the agency social worker between 5/25/2022 and 8/5/2022.","Jeff Beesley, Executive Director",,8/18/2022,1,COMPLAINT_INVESTIGATION,,Jodean Greene,11:00 PM,11:30 PM,8/18/2022,,A,"87095.00(d) General Provisions: All children placed in a STRTP program have the right to be free from the use of restraints imposed as a mean of coercion, discipline, convenience, or retaliation by staff.
This requirement is not met as evidenced by:",An agency wide retraining on Gateway's Staff/Client Boundaries Policy from the Gateway Policies and Procedures were completed prior to 8/18/2022 documentation was provided to the LPA.,8/18/2022,00(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHARD A DURR,UNANNOUNCED,7,0,21-CR-20210805133754,SUBSTANTIATED,2/3/2022 15:30,Brian Bertoli,490101336,"GREENACRE HOMES, INC. NO 1 (JOYCE DRIVE)",490101336,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=490101336&inx=2,LIC9099,"Licensing Program Analyst (LPA) Brian Bertoli made an unannounced complaint investigation at the facility and met with Deputy Director Timothy Dimick, who assisted with the inspection. The purpose of the inspection was to deliver findings on the above allegation. During the course of the investigation LPA Bertoli interviewed 2 staff and the complainant, and reviewed records. The records and the interviews indicated that although the Needs and Services Plan was prepared for client C1 (see LIC 811 form dated 02/03/22), it was not sent for signature of the Authorized Representative until it was requested by them in August 2021. Based on the information obtained, there is a preponderance of the evidence to prove that the facility did not properly complete the Needs and Services Plan. Therefore, the above allegation is substantiated. Title 22 deficiencies were cited and Appeal Rights were provided and discussed with the facility. An exit interview was conducted and a copy of the report was left with Deputy Director Dimick.",Tim Dimick,,2/3/2022,2,COMPLAINT_INVESTIGATION,,Zaid Hakim,9:15 AM,10:30 AM,2/3/2022,,B,"87068.2  Needs and Services Plan (f) The licensee shall obtain written approval from ... the childâ€™s authorized representative prior to implementing the childâ€™s needs and services plan. This requirement is not met, as evidenced by:",Facility stated that all files have been reviewed for completion.  New clinical staff are also being trained on proper procedures.  Facility will send training and protocol to CCL by 2/10/22.,2/17/2022,2(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHUGELLA THOMAS-WEAVER,UNANNOUNCED,6,6,19-CR-20211012152957,SUBSTANTIATED,1/27/2022 14:39,Nicole Strickland,336426160,GUIDING LIGHT HOME FOR BOYS INC.,336426160,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=336426160&inx=3,LIC9099,"On January 26, 2022 at 10:20am Licensing Program Analyst (LPA), Nicole Strickland, met with Guiding Light Home for Boys Administrator (ADM) Cathy Gooden, to deliver the findings for the above stated allegations. LPA conducted an inspection of the facility on October 20, 2021 at approximately 12:30 pm and no immediate deficiencies were observed. The investigation was conducted by LPA Strickland and included interviews with five of six foster youth (Child #1 [C1], Child #3 [C3], Child #5 [C5], and Child #7 [C7]), two Staff (Staff #1 [S1] and Staff #2 [S2]), Riverside Out of Home Institutions (OHI) investigator, and County Social Worker (CSW). One confidential witness did not respond to LPAâ€™s multiple requests for an interview and therefore was not interviewed. In addition, county records and facility records were reviewed. On October 12, 2021, Community Care Licensing (CCL) received an allegation alleging Minor (Child #2 [C2]) threatened another minor (Child #1 [C1]) with a firearm. Confidential interviews provided consistent statements of C2 making threats to residents in care and C2â€™s statements of having a gun. Confidential ***CONTINUED ON NEXT PAGE***",Cathy Gooden,,1/27/2022,3,COMPLAINT_INVESTIGATION,,Natasha Dunlap,11:20 AM,12:06 PM,1/27/2022,,A,"Personal Rights: (d) The licensee shall ensure that each child, regardless of whether the child is in foster care is accorded the personal rights specified in Welfare and Institutions Code Section 16001.9 as applicable.

This requirement is not met as evidenced by:","C2 was removed from the faciltiy on 10/11/2021.  

ADM stated that unannuonced random room checks have incresased and will continued to be completed to ensure saftey of residents.",1/27/2022,87072(d),B,"Personal Rights (d)(11) To be free of physical, sexual, emotional, or other abuse, and form corporal or unusual punishment, infliction of pain, humiliation, intimidation, ridicule, coercion, threat...l functioning: 

This requirement is not met as evidenced by:","ADM had an accountability meeting to address bullying with all residents.  ADM spoke with staff about anti-bullying after the incident. 

In addtion ADM will do an all staff training on anti-bullying to include signs, prevention, de-escaltion, and documentation.  ADM will",2/4/2022,87072(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATHY D GOODEN,UNANNOUNCED,6,6,19-CR-20220927143530,SUBSTANTIATED,3/16/2023 16:30,Babatunde Aborchie,336426160,GUIDING LIGHT HOME FOR BOYS INC.,336426160,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=336426160&inx=5,LIC9099,"On March 16, 2023 Licensing Program Analyst (LPA) Babatunde Aborchie arrived at Guiding Light Home for Boys and met with Clinical Director (CD) to deliver investigative finding for the above allegation involving the group home (GH) and clients listed in the Confidential Names List (LIC 811) dated 03/16/2023. On September 27, 2022, a complaint report was referred to Community Care Licensing (CCL) alleging facility was operating out of ratio. On October 3, 2022, Licensing Program Analyst (LPA) Babatunde Aborchie arrived at the GH to initiate investigation and met with Clinical Director (CD) Adri Vermilion. LPA interviewed clinical director (CD) and staff 1 (S1). On February 8, 2022 LPA interviewed Facility Administrator (FA), clients 1, and 2 (C1 and C2). Additionally, on March 6, 2023 LPA interviewed clients 3 and 4 (C3 and C4).",Clinical Director,,3/16/2023,5,COMPLAINT_INVESTIGATION,,Abdoulaye Traore,3:48 PM,4:40 PM,3/16/2023,,B,"87065.5 (a)(1): Direct Care Staff/Child Ratios (a) In a facility with a licensed capacity of six or fewer children, there shall be coverage by direct care staff as follows: (1) During the hours of 7 am to 10 pm, there shall be one awake and on duty direct care staff for every three children, or fraction thereof, present, at a minimum.",Facility immediately hired additional direct care staff and hired on-call staff with ability to respond in a timely manner when needed. Facility will continue to ensure there is adequate staff at 7 am to 10 pm and all hours that need coverage.,3/16/2023,5(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATHY D GOODEN,UNANNOUNCED,6,6,19-CR-20240229104153,SUBSTANTIATED,7/1/2024 15:36,Jessica M Peete,336426160,GUIDING LIGHT HOME FOR BOYS INC.,336426160,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=336426160&inx=15,LIC9099,"On July,1 2024, at 11:20 AM, Licensing Program Analyst (LPA) Jessica Peete made an unannounced visit to Guiding Light Home for Boys Short Term Residential Therapeutic Program (STRTP) and met with Adminstrator Georgina Doyle to deliver the investigative finding for the allegation mentioned above. On 03/04/2024 LPA Peete initiated the investigation at the STRTP and collected pertinent documents to assist with the investigation process. The investigation was conducted by Special Investigator (SI) Marlon Williams of the Community Care Licensing (CCL) Investigations Bureau. SI Williams interviewed three clients (C1-C3), five staff members (S1-S5), and three neighbors near the STRTP. On February 29, 2024, Community Care Licensing (CCL) received a complaint alleging that Staff (S1) is contributing marijuana to the delinquency of minors. During the investigation, multiple confidential interviews, including S1, denied smoking or providing marijuana to clients. However, it was reported that staff (S1-S3) were working Sunday, February 11, 2024 and a confidential witness interview reported seeing S1 follow clients into the backyard and smoke marijuana with them. Continued on LIC 9099-C",Administrator Georgina Doyle,,7/1/2024,15,COMPLAINT_INVESTIGATION,,Cheraki Davis,11:20 AM,12:07 PM,7/1/2024,,A,"Personnel Duties (b) Direct care staff shall perform the following duties (1) supervision, protection, and care of children at all times, individually and in groups
This requirement was not met as evidenced by:Based on confidential interviews and document review",The facility will provide proof of staff retraining and/or a detailed training plan on trauma informed interventions and staff responsibilities which will also include ways to avoid this deficiency in the future.,7/2/2024,2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHUGELLA WEAVER-THOMAS,UNANNOUNCED,6,6,19-CR-20210409092643,SUBSTANTIATED,9/3/2021 11:26,Cindy Hamilton,336423724,GUIDING LIGHT HOME FOR BOYS #2,336423724,733,Short Term Residential Therapeutic Program (STRTP),https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=336423724&inx=11,LIC9099,"On September 3, 2021 at 10:30 AM, Licensing Program Analyst (LPA) Cindy Hamilton met with Guiding Light Home for Boys #2 (STRTP) Administrator Georgina Doyle to deliver the finding of the above allegation. On April 15, 2021, a safety tele-inspection of the facility was conducted, and no deficiencies were noted at the time. During the investigation, LPA Hamilton conducted interviews with previous Administrator, County Social Worker (CSW), zero of six clients and four staff. LPA obtained and reviewed the facilityâ€™s 15-minute log, placement agreements, needs and services plans, special incident reports, and staff schedules. LPA was unable to interview C1, C2, C3, C4, C5 or C6 as all clients declined to be interviewed by LPA. On April 9, 2021, Community Care Licensing (CCL) received an allegation that facility staff did not properly report Client #1â€™s (C1) AWOL to C1â€™s authorized representative. It was alleged that on April 7, 2021 CSW went to the STRTP and was advised that C1 had AWOLâ€™d on April 2, 2021 and had not returned to STRTP.","Georgina Doyle, Administrator",,9/3/2021,11,COMPLAINT_INVESTIGATION,,Abdoulaye Traore,10:30 AM,11:01 AM,9/3/2021,,B,"80061(g) Reporting Requirements. (g)The items specified in (b)(1)(A) through (H) above shall also be reported to the client's authorized representative, if any.","Adminstrator will provide training to all staff regarding the facility's reporting protocols.  Administrator will provide proof of staff trained, the training materials, copy of facility's reporting protocol.  Training is to cover CCR & ILS Reporting Requirements sections.  This information will be provided to LPA via email by POC due date.",10/4/2021,80061(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
