name	operator	operator_detail	past_names	location	years	status	current_name	website
Polk Halfway House	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Bartow, FL		FALSE		
South Florida Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Miami, FL		FALSE		
Tampa Residential Facility	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Tampa, FL		FALSE		
Asheville Academy for Girls	Family Help & Wellness	Salem, OR | 2008-Present		Black Mountain, NC; Asheville, NC	2012–2025	Closed		
BlueFire Wilderness Therapy	Family Help & Wellness	Salem, OR | 2008-Present		Gooding, ID	2013–Present	Open		
Discover Seven Stars	Family Help & Wellness	Salem, OR | 2008-Present		Syracuse, UT	2015–Present	Open		
Elevations RTC	Family Help & Wellness	Salem, OR | 2008-Present	Island View RTC	Syracuse, UT	2014–Present	Open		
Equinox RTC	Family Help & Wellness	Salem, OR | 2008-Present		Hendersonville, NC	2016–2023	Closed		
Foundations Asheville	Family Help & Wellness	Salem, OR | 2008-Present		Asheville, NC		FALSE		
Magnolia Mill School	Family Help & Wellness	Salem, OR | 2008-Present	Solstice East	Weaverville, NC	2024–2025	Closed		
New Focus Academy	Family Help & Wellness	Salem, OR | 2008-Present		Heber City, UT	2018–Present	Open		
Red Mountain Colorado	Family Help & Wellness	Salem, OR | 2008-Present		Greeley, CO	2019–2023	Closed		
Red Mountain Sedona	Family Help & Wellness	Salem, OR | 2008-Present		Sedona, AZ	2015–Present	Open		
ROOTs Transition	Family Help & Wellness	Salem, OR | 2008-Present		Park City, UT	2021–Present	Open		
Sandhill Child Development Center	Family Help & Wellness	Salem, OR | 2008-Present		Los Lunas, NM	2004–Present	Open		
Sedona Sky Academy	Family Help & Wellness	Salem, OR | 2008-Present		Rimrock, AZ	2014–Present	Transferred	EmotiHome Rimrock	
Solstice West	Family Help & Wellness	Salem, OR | 2008-Present	Solstice RTC (2008-2012)	Layton, UT	2012–Present	Open		
Trails Carolina	Family Help & Wellness	Salem, OR | 2008-Present		Lake Toxaway, NC	2008–2024	Closed		
Triple Divide Lodge	Family Help & Wellness	Salem, OR | 2008-Present		Marion, MT	2021–2024	Closed		
Uinta Academy	Family Help & Wellness	Salem, OR | 2008-Present		Wellsville, UT	2003–Present	Open		
Viewpoint Center	Family Help & Wellness	Salem, OR | 2008-Present	Aspen Institute for Behavioral Assessment	Syracuse, UT	2014–Present	Open		
Wingate Wilderness Therapy	Family Help & Wellness	Salem, OR | 2008-Present		Kanab, UT	2008–2023	Closed		
Chrysalis Therapeutic Boarding School	Embark Behavioral Health	Chandler, AZ | 2018-Present		Eureka, MT	1998–Present	Open		
First Light Wilderness Therapy	Embark Behavioral Health	Chandler, AZ | 2018-Present		Dahlonega, GA	2020–Present	Open		
Lake House Academy	Embark Behavioral Health	Chandler, AZ | 2018-Present		Flat Rock, NC	2010–Present	Open		
New Haven RTC	Embark Behavioral Health	Chandler, AZ | 2018-Present		Saratoga Springs, UT / Spanish Fork, UT	1995–Present	Open		
CALO Programs	Embark Behavioral Health	Chandler, AZ | 2018-Present		Lake Ozark, MO	2007–Present	Open		
Deschutes Wilderness Therapy	Embark Behavioral Health	Chandler, AZ | 2018-Present		Bend, OR	2012–2024	Closed		
New Vision Wilderness Therapy	Embark Behavioral Health	Chandler, AZ | 2018-Present		Medford, WI		Closed		
Embark at Flathead Valley	Embark Behavioral Health	Chandler, AZ | 2018-Present	Montana Academy	Marion, MT		Open		
Embark at Hobble Creek	Embark Behavioral Health	Chandler, AZ | 2018-Present		Springville, UT		Open		
Embark at San Martin	Embark Behavioral Health	Chandler, AZ | 2018-Present		San Martin, CA	2022-Present	Open		
Embark at The Forge	Embark Behavioral Health	Chandler, AZ | 2018-Present		Benton, TN		Open		
Embark at The Poconos	Embark Behavioral Health	Chandler, AZ | 2018-Present		White Haven, PA		Open		
Fulshear Treatment to Transition	Embark Behavioral Health	Chandler, AZ | 2018-Present		Needville, TX		Open		
Embark Behavioral Health RTC	Embark Behavioral Health	Chandler, AZ | 2018-Present		Klamath Falls, OR		Open		
Optimum Performance Institute	Embark Behavioral Health	Chandler, AZ | 2018-Present		Woodland Hills, CA		Open		
Alachua Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Gainesville, FL	Wayne Halfway House	Open		
Brighter Path Courtland	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Courtland, AL		Closed		
Brighter Transition Youth Treatment Center	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Sioux Falls, SD		FALSE		
Capital Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Camden, NJ		FALSE		
Casa Grande Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Casa Grande, AZ		Open		
Columbus Youth Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Tampa, FL		FALSE		
Duval Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Jacksonville, FL		Open		
Forest Ridge Youth Services	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Estherville, IA	1983–Present	Open		
Marion Youth Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Ocala, FL		FALSE		
Mingus Mountain Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Prescott Valley, AZ	1985–Present	Open		
Norris Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Andersonville, TN		Open		
Palm Beach Youth Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		West Palm Beach, FL		Open		
Sequel Alliance Family Services	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Kellogg, ID		FALSE		
Woodward Academy	Vivant Behavioral Health	Montgomery, AL | 2021-Present		Woodward, IA		Vivant		
NeuroRestorative Academy Cardinals House	"NeuroRestorative
"	Dedham, MA | 1977-Present		1010 Airport Rd, Bloomington, IL 61704		FALSE		
NeuroRestorative Bears House	"NeuroRestorative
"	Dedham, MA | 1977-Present		1114 Kern St, Normal, IL 61761		FALSE		
NeuroRestorative Berkshire House	"NeuroRestorative
"	Dedham, MA | 1977-Present		820 Berkshire Ln, Des Plaines, IL 60016		FALSE		
NeuroRestorative Birch House	"NeuroRestorative
"	Dedham, MA | 1977-Present		625 W Rigdon St, Carbondale, IL 62901		FALSE		
NeuroRestorative Blackhawks House	"NeuroRestorative
"	Dedham, MA | 1977-Present		9 Grandview Dr, Normal, IL 61761		FALSE		
NeuroRestorative Bonsai House	"NeuroRestorative
"	Dedham, MA | 1977-Present		2500 E Walnut St, Bldg E, Carbondale, IL 62901		FALSE		
NeuroRestorative Bridge House	"NeuroRestorative
"	Dedham, MA | 1977-Present		606 S Terrace Dr, Carbondale, IL 62901		FALSE		
NeuroRestorative Cubs House	"NeuroRestorative
"	Dedham, MA | 1977-Present		818 Sheridan Rd, Normal, IL 61761		FALSE		
NeuroRestorative Cypress House	"NeuroRestorative
"	Dedham, MA | 1977-Present		2500 E Walnut St, Bldg B, Carbondale, IL 62901		FALSE		
NeuroRestorative Deer House	"NeuroRestorative
"	Dedham, MA | 1977-Present		1158 N Deer Ave, Palatine, IL 60067		FALSE		
NeuroRestorative Helen House	"NeuroRestorative
"	Dedham, MA | 1977-Present		707 W Helen Rd, Palatine, IL 60067		FALSE		
NeuroRestorative Mount Prospect House	"NeuroRestorative
"	Dedham, MA | 1977-Present		901 S Busse Rd, Mt Prospect, IL 60056		FALSE		
NeuroRestorative Willow House	"NeuroRestorative
"	Dedham, MA | 1977-Present		2500 Walnut, Building A, Carbondale, IL 62901		FALSE		
NeuroRestorative Woodlake House	"NeuroRestorative
"	Dedham, MA | 1977-Present		2500 E Walnut St, BLDG C, Carbondale, IL 62901		FALSE		
180 Ministries for Girls	"Teen Challenge
"	Ozark, MO | 1960-Present		Tooele, UT		FALSE		
Victory House Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Brewster, KS		FALSE		
Columbus Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Seale, AL		FALSE		
Teen Challenge Adventure Ranch	"Teen Challenge
"	Ozark, MO | 1960-Present		Morrow, AR		FALSE		
Bloom Home for Girls	"Teen Challenge
"	Ozark, MO | 1960-Present		Brockton, MA	2017–Present	Open		
Boise Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Nampa, ID	2013–Present	Open		
Brush Creek Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Jay, OK	2015–	FALSE		
New Lifehouse Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Disney, OK		FALSE		
Central Indiana Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Lebanon, IN		FALSE		
Eastern Appalachian Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Roanoke, VA		FALSE		
Evangelhouse Christian Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		St. Martinville, LA		FALSE		
Evangeline Christian Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		St. Martinville, LA		FALSE		
Teen Challenge of Acadiana	"Teen Challenge
"	Ozark, MO | 1960-Present		St. Martinville, LA		FALSE		
Gateway Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Bonifay, FL		FALSE		
Heart of America Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Etna, WY		FALSE		
Heartland Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Nebo, KY		FALSE		
Kansas City Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Kansas City, MO		FALSE		
Lakeland Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Lakeland, FL	1958–2022	FALSE		
New Hope Boys Home	"Teen Challenge
"	Ozark, MO | 1960-Present		Austin, TX		FALSE		
Anderson Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Vero Beach, FL		FALSE		
North Carolina Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Conover, NC		FALSE		
Ozarks Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Springfield, MO		FALSE		
Prayer Mountain Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Meansville, GA		FALSE		
Pine Mountain Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Meansville, GA		FALSE		
Refuge Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Lebanon, IN		FALSE		
Reno Adolescent Boys Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Sparks, NV		FALSE		
Columbus Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Columbus, GA		FALSE		
Teen Challenge Girls	"Teen Challenge
"	Ozark, MO | 1960-Present		Las Vegas		FALSE		
Ruth's Haven Teen Girl's Center	"Teen Challenge
"	Ozark, MO | 1960-Present		Lund, NV		FALSE		
Eagle Springs Teen Boy's Center	"Teen Challenge
"	Ozark, MO | 1960-Present		Sparks, NV		FALSE		
THRIVE Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Round Rock, TX		FALSE		
New Hope Boys Home	"Teen Challenge
"	Ozark, MO | 1960-Present		Austin, TX		FALSE		
Anderson Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Vero Beach, FL		FALSE		
North Carolina Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Conover, NC		FALSE		
Ozarks Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Springfield, MO		FALSE		
Prayer Mountain Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Meansville, GA		FALSE		
Pine Mountain Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Meansville, GA		FALSE		
Refuge Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Lebanon, IN		FALSE		
Reno Adolescent Boys Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Sparks, NV		FALSE		
Columbus Teen Challenge	"Teen Challenge
"	Ozark, MO | 1960-Present		Columbus, GA		FALSE		
Teen Challenge Girls	"Teen Challenge
"	Ozark, MO | 1960-Present		Las Vegas		FALSE		
Ruth's Haven Teen Girl's Center	"Teen Challenge
"	Ozark, MO | 1960-Present		Lund, NV		FALSE		
Eagle Springs Teen Boy's Center	"Teen Challenge
"	Ozark, MO | 1960-Present		Sparks, NV		FALSE		
THRIVE Girls Academy	"Teen Challenge
"	Ozark, MO | 1960-Present	Thrive Girls Ranch & Home	Round Rock, TX		FALSE		
Treasure Coast Boys Academy	"Teen Challenge
"	Ozark, MO | 1960-Present		Vero Beach, FL		FALSE		
	"Hope Group
"	Cedar City, UT | 2001-Present		Cedar City, UT	2001–2013	FALSE		
Havenwood Academy	"Hope Group
"	Cedar City, UT | 2001-Present	Integrity House (2001-2013)	Cedar City, UT	2014–Present	Open		
Havenwood North	"Hope Group
"	Cedar City, UT | 2001-Present	Zion Hills Academy (2017-2021)	Cedar City, UT	2021–Present	Open		
Havenwood Ranch	"Hope Group
"	Cedar City, UT | 2001-Present	Eagles Rest Ranch (2020-2021)		2021–Present	Open		
Arden Oaks RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Sacramento, CA	2020–Present	Open		
Danville RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Danville, CA		Open		
Lafayette RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Lafayette, CA		Open		
Walnut Creek RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present				Open		
Mount Helix RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		La Mesa, CA		Open		
Dove Song RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Encinitas, CA		Open		
Cole Ranch RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Encinitas, CA		Open		
Agoura Hills RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Agoura Hills, CA		Open		
Calabasas RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Calabasas, CA		Open		
Ojai RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Ojai, CA	2014–Present	Open		
Woodland Hills RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Woodland Hills, CA	2014–Present	Open		
Vanalden RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Tarzana, CA		Open		
Aura RTC	"Evolve Adolescent Behavioral Health
"	Los Angeles, CA | 2014-Present		Tarzana, CA		Open		
Canyon State Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Queen Creek, AZ	2000–Present	Open		
Daytona Juvenile Residential Facility	Rite of Passage, Inc.	Minden, NV | 1984-Present		Daytona Beach, FL		FALSE		
Falcon Ridge Ranch	Rite of Passage, Inc.	Minden, NV | 1984-Present		Virgin, UT	2003–Present	Open		
Gulf Coast Trades Center	Rite of Passage, Inc.	Minden, NV | 1984-Present		New Waverly, TX		FALSE		
JoAnn Bridges Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Greenville, FL		Open		
Lake Granbury Youth Services	Rite of Passage, Inc.	Minden, NV | 1984-Present		Granbury, TX		FALSE		
Lava Heights Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Toquerville, UT	2012–Present	Open		
Monarch Academy for Girls	Rite of Passage, Inc.	Minden, NV | 1984-Present		Denison, TX		Open		
Mt. Lassen Treatment Center	Rite of Passage, Inc.	Minden, NV | 1984-Present		San Andreas, CA		Open		
Norris Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Andersonville, TN		Open		
Oak Grove Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Jasper, FL		Open		
Palm Beach Youth Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		West Palm Beach, FL		Open		
Pearl Haven	Rite of Passage, Inc.	Minden, NV | 1984-Present		Honolulu, HI		Open		
Sierra Ridge Treatment Center	Rite of Passage, Inc.	Minden, NV | 1984-Present				Open		
Sierra Sage Treatment Center	Rite of Passage, Inc.	Minden, NV | 1984-Present		Minden, NV		Open		
Silver State Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Yerington Indian Reservation, NV		Open		
The Oaks	Rite of Passage, Inc.	Minden, NV | 1984-Present		Brownwood, TX		FALSE		
Uta Halee Academy	Rite of Passage, Inc.	Minden, NV | 1984-Present		Omaha, NE		FALSE		
Walton Academy for Growth and Change	Rite of Passage, Inc.	Minden, NV | 1984-Present		DeFuniak Springs, FL		FALSE		
Yosemite Treatment Center	Rite of Passage, Inc.	Minden, NV | 1984-Present		San Andreas, CA		FALSE		
Academy at Swift River	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Cummington, MA	1997–2013	Closed		
Adirondack Leadership Expeditions	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Saranac Lake, NY	2003–2013	Closed		
Aspen Achievement Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present			1989–2011	Closed		
Aspen Institute for Behavioral Assessment	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Syracuse, UT	2007–2014	Family Help & Wellness	Viewpoint Center	
Aspen Ranch	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Loa, UT	1995–2011	Closed		
Bromley Brook School	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Manchester Center, VT	2004–2011	Closed		
Camp Huntington	"Aspen Education Group
"	Cerritos, CA | 1997-Present		High Falls, NY	1961–2021	Closed		
Cedars Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Bridgeville, DE	1989–2009	Closed		
Copper Canyon Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Rimrock, AZ	1998–2014	Emoticare	Sedona Sky Academy	
Excel Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Conroe, TX	1996–2008	FALSE		
Island View RTC	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Syracuse, UT	1994–2014	Family Help & Wellness	Elevations RTC	
Lone Star Expeditions	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Kennard, TX	2002–2009	Closed		
Mount Bachelor Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Prineville, OR	1998–2009	Closed		
New Leaf Academy of North Carolina	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Hendersonville, NC	2005–2010	Acadia HealthCare	Talisman Camps	
New Leaf Academy of Oregon	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Bend, OR	1997–2011	Closed		
Oakley School	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Oakley, UT	1998–2007	Closed		
Outback Therapeutic Expeditions	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Lehi, UT	2001–2023	Closed		
Passages to Recovery	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Loa, UT	2000–2011	Closed		
Pine Ridge Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Draper, UT	?-2009	Closed		
SageWalk Wilderness	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Redmond, OR	1997–2009	Closed		
Stone Mountain School	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Black Mountain, NC	1990–2013	Closed		
SunHawk Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present			1996–2011	Closed		
SUWS Idaho	"Aspen Education Group
"	Cerritos, CA | 1997-Present			1981–2013	Closed		
SUWS of the Carolinas	"Aspen Education Group
"	Cerritos, CA | 1997-Present			2000–2023	Closed		
Talisman Academy	"Aspen Education Group
"	Cerritos, CA | 1997-Present			2010–2013	Closed		
Talisman Camps	"Aspen Education Group
"	Cerritos, CA | 1997-Present				Acadia HealthCare		
Turn-About Ranch	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Escalante, UT		Acadia HealthCare		
Wellspring Academies	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Reedley, CA	2004–2014	Closed		
Wellspring Adventure Camp North Carolina	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Canton, NC		Closed		
Wellspring Adventure Lake Tahoe	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Incline Village, NV		Closed		
Wellspring Camp La Jolla	"Aspen Education Group
"	Cerritos, CA | 1997-Present		La Jolla, CA	1972–2017	Closed		
Wellspring DC	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Washington, DC		Closed		
Wellspring Georgia	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Rome, GA		Closed		
Wellspring Hawaii	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Big Island, HI		Closed		
Wellspring New York	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Paul Smiths, NY		Closed		
Wellspring Oregon	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Corvallis, OR		Closed		
Wellspring Pennsylvania	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Scranton, PA		Closed		
Wellspring Texas	"Aspen Education Group
"	Cerritos, CA | 1997-Present		San Marcos, TX		Closed		
Wellspring UK	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Devon, England		Closed		
Wellspring Wisconsin	"Aspen Education Group
"	Cerritos, CA | 1997-Present		Platteville, WI		Closed		
Youth Care of Utah	"Aspen Education Group
"	Cerritos, CA | 1997-Present				Acadia HealthCare		
Camp E-How-Kee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Brooksville, FL		FALSE		
Camp E-Hun-Tee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Exeter, RI		FALSE		
Camp E-Kel-Etu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Silver Springs, FL		FALSE		
Camp E-Ku-Sumee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Candor, NC		FALSE		
Camp E-Ma-Chamee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Milton, FL		FALSE		
Camp E-Ma-Etu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Lenoir, NC		FALSE		
Camp E-Ma-Laku	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Suches, GA		FALSE		
Camp E-Ma-Henwu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Newport, NC		FALSE		
Camp E-Mun-Talee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Lowgap, NC		FALSE		
Camp E-Nini-Hassee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Floral City, FL		FALSE		
Camp E-Sun-Alee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Deerlodge, TN		FALSE		
Camp E-Ten-Etu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Manson, NC		FALSE		
Camp E-Tik-Etu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Elizabethtown, NC		FALSE		
Camp E-Toh-Anee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Colebrook, NH / Stewartstown, NH		FALSE		
Camp E-Toh-Kalu	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Hendersonville, NC		FALSE		
Camp E-Tu-Makee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Clewiston, FL		FALSE		
Camp E-Tu-Nake	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Blakely, GA		FALSE		
Camp E-Wen-Akee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Benson, VT		FALSE		
